node_id,j_real,j_imag
0,0.14391604897143334,0.0
1,0.9440326476222204,0.0
2,0.9028066960939451,0.0
3,0.33488798201049386,0.0
4,0.7669692679270426,0.0
5,0.8293495460981094,0.0
6,0.4096776880153244,0.8474223369701007
7,0.4096776880153244,0.15257766302989922
8,0.60889481136004,0.0
9,0.7501457483134838,0.0
10,0.5899891729824269,0.4853835262763388
11,0.5899891729824269,0.5146164737236611
12,0.10760389772632631,0.9395352710918631
13,0.1315066211376697,0.0369784292496044
14,0.1315066211376697,0.9630215707503956
15,0.10760389772632631,0.06046472890813692
16,0.1598234363288082,0.9426168068626635
17,0.1598234363288082,0.05738319313733655
18,0.6694428250187391,0.0
19,0.4015990672107937,0.0
20,0.115682518530857,0.6044807195802449
21,0.3113183976013992,0.058632464395769135
22,0.3113183976013992,0.9413675356042309
23,0.115682518530857,0.39551928041975515
24,0.4173398850670442,0.41367535604230865
25,0.6773548763221454,0.46955942366952613
26,0.539185475139502,0.657782959940035
27,0.09194636462063796,0.24877154992920797
28,0.09194636462063796,0.7512284500707921
29,0.539185475139502,0.342217040059965
30,0.6773548763221454,0.5304405763304739
31,0.4173398850670442,0.5863246439576913
32,0.9597734654784709,0.4868826517864579
33,0.27034230032481055,0.6626134754726409
34,0.27034230032481055,0.33738652452735907
35,0.9597734654784709,0.513117348213542
36,0.27900391438327643,0.0
37,0.31348380111601565,0.0
38,0.3366369617722995,0.3061547430665445
39,0.3366369617722995,0.6938452569334554
40,0.24768884817189973,0.7837095027900391
41,0.8808195219455318,0.5110352294494878
42,0.29715999000582993,0.745898226034813
43,0.7941200966103107,0.8599150495544265
44,0.7941200966103107,0.14008495044557343
45,0.29715999000582993,0.25410177396518696
46,0.8808195219455318,0.4889647705505122
47,0.24768884817189973,0.21629049720996085
48,0.8190222370284,0.4928791538269343
49,0.12842508536686933,0.8730740401432497
50,0.3398850670442242,0.08195219455317732
51,0.6917631381694012,0.12767552261180978
52,0.612309486133089,0.6736903472974098
53,0.9572749229616058,0.4820521362538519
54,0.4556508703256434,0.664529024735571
55,0.516948446739402,0.41400849504455733
56,0.516948446739402,0.5859915049554426
57,0.4556508703256434,0.3354709752644291
58,0.9572749229616058,0.5179478637461481
59,0.612309486133089,0.32630965270259016
60,0.6917631381694012,0.8723244773881902
61,0.3398850670442242,0.9180478054468227
62,0.12842508536686933,0.12692595985675023
63,0.8190222370284,0.5071208461730657
64,0.34304988756558674,0.734238360956109
65,0.530024152577663,0.5450986924294162
66,0.311235112850837,0.2301157658032814
67,0.311235112850837,0.7698842341967186
68,0.530024152577663,0.45490130757058383
69,0.34304988756558674,0.26576163904389105
70,0.730407262430249,0.0
71,0.5975680852835846,0.0
72,0.15590905305238612,0.43866078121096025
73,0.15590905305238612,0.5613392187890397
74,0.37394853002415257,0.5057050054135088
75,0.06254684767219122,0.8909802615141168
76,0.06254684767219122,0.10901973848588324
77,0.37394853002415257,0.49429499458649123
78,0.06679436995086199,0.5112850837011743
79,0.6688598317648039,0.2286166402931623
80,0.5760806196385442,0.38077787957025067
81,0.9760139918380945,0.011493295577579745
82,0.04605646706088115,0.4072624302490214
83,0.9630215707503956,0.3672857499791788
84,0.06188056966769385,0.45331889730990255
85,0.7804613975181144,0.5144499042225369
